raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
Tremp,tremp,tremp,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,42.20625,0.9545833333333335,wb2:tremp,wb5:tremp,raw:Tremp,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Trout Lake,trout lake,trout lake,GrebSR_US_WDNR,United States of America (the),6,46.04031833333334,-89.67033166666666,wb2:trout lake,wb5:trout lake,raw:Trout Lake,cg:BindingC_CA_ECCC,
Ullívarri,ullivarri,ullivarri,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,42.93611108203715,-2.5806399969026197,wb2:ullivarri,wb5:ullivarri,raw:Ullívarri,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Ullswater,ullswater,ullswater,SpyrakosE_GB_STIR,United Kingdom of Great Britain and Northern Ireland (the),4,54.575275,-2.8929375,wb2:ullswater,wb5:ullswater,raw:Ullswater,cg:AlikasK_EE_UT-TO,
Vaal,vaal,vaal,KravitzJ_ZA_UCT,South Africa,6,-26.902265,28.133963500000004,wb2:vaal,wb5:vaal,raw:Vaal,cg:KravitzJ_ZA_UCT,
Valdecañas,valdecanas,valdecanas,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,5,39.802277777777775,-5.50427777777778,wb2:valdecanas,wb5:valdecanas,raw:Valdecañas,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Valmayor,valmayor,valmayor,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,40.54756944444445,-4.05111111111111,wb2:valmayor,wb5:valmayor,raw:Valmayor,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Valparaíso,valparaiso,valparaiso,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,3,41.980277777777765,-6.292037037037036,wb2:valparaiso,wb5:valparaiso,raw:Valparaíso,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Valuengo,valuengo,valuengo,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,2,38.3035172,-6.6657704,wb2:valuengo,wb5:valuengo,raw:Valuengo,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Vega de Jabalón,vega de jabalon,vega de jabalon,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,1,38.7641666666667,-3.78527777777778,wb2:vega de jabalon,wb5:vega de jabalon,raw:Vega de Jabalón,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Vinkeveenseplas jachthaven,vinkeveenseplas jachthaven,vinkeveenseplas jachthaven,WernandMR_NL_NIOZ_LK,Netherlands (the),1,52.227533,4.9464,wb2:vinkeveenseplas jachthaven,wb5:vinkeveenseplas jachthaven,raw:Vinkeveenseplas jachthaven,cg:DekkerAG_NL_VU,
Volney,volney,volney,OlmansonLG_US_UMN,United States of America (the),1,44.36899,-93.64135,wb2:volney,wb5:volney,raw:Volney,cg:OlmansonLG_US_UMN,
"Waccamaw River, SC","waccamaw river, sc","waccamaw river, sc",SchallesJ_US_Creighton,United States of America (the),1,33.4685333333333,-79.1575666666667,"wb2:waccamaw river, sc","wb5:waccamaw river, sc","raw:Waccamaw River, SC",cg:BindingC_CA_ECCC,
Wachtels Lagoon,wachtels lagoon,wachtels lagoon,AnsteeJ_AU_CSIRO,Australia,3,-34.23469093333333,140.37172956666666,wb2:wachtels lagoon,wb5:wachtels lagoon,raw:Wachtels Lagoon,cg:AnsteeJ_AU_CSIRO,
Wahapo,wahapo,wahapo,LehmannMK_NZ_UOW_NZ_LK,New Zealand,1,-43.2504,170.2646,wb2:wahapo,wb5:wahapo,raw:Wahapo,cg:LehmannMK_NZ_UOW_NZ_LK,
"Wassau Sound, GA","wassau sound, ga","wassau sound, ga",SchallesJ_US_Creighton,United States of America (the),1,31.9248333333333,-80.9670833333333,"wb2:wassau sound, ga","wb5:wassau sound, ga","raw:Wassau Sound, GA",cg:BindingC_CA_ECCC,
"West Lake, Hanoi","west lake, hanoi","west lake, hanoi",NguyenTTH_VN_VNU-HUS,Viet Nam,19,21.04843157894737,105.826,"wb2:west lake, hanoi","wb5:west lake, hanoi","raw:West Lake, Hanoi",cg:BracherA_DE_AWI,
Western Treatment Plant,western treatment plant,western treatment plant,AnsteeJ_AU_CSIRO,Australia,16,-37.994249625,144.62972125,wb2:western treatment plant,wb5:western treatment plant,raw:Western Treatment Plant,cg:AnsteeJ_AU_CSIRO,
