label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,TSS,earliest,common,20,cqr,augment,0.1,20,0.9226729498966206,0.04973942300934691,7.2,0.0
exploratory,TSS,earliest,common,20,cqr,global,0.1,20,0.9211697393892123,0.049695472609548694,7.2,0.0
exploratory,TSS,earliest,common,20,cqr,hybrid,0.1,20,0.8553240415774843,0.05933109346962437,7.2,0.0
exploratory,TSS,earliest,common,20,cqr,local,0.1,20,0.8553240415774843,0.05933109346962437,7.2,0.0
exploratory,TSS,earliest,common,20,scp,augment,0.1,20,0.9102145471289601,0.05715904790223658,7.2,0.0
exploratory,TSS,earliest,common,20,scp,global,0.1,20,0.904375072590485,0.07056279851329866,7.2,0.0
exploratory,TSS,earliest,common,20,scp,hybrid,0.1,20,0.8573020553013494,0.05181117049314763,7.2,0.0
exploratory,TSS,earliest,common,20,scp,local,0.1,20,0.8573020553013494,0.05181117049314763,7.2,0.0
exploratory,TSS,earliest,per_k,0,cqr,augment,0.1,20,0.8925374037654864,0.050400403053225955,25.0,0.0
exploratory,TSS,earliest,per_k,0,cqr,global,0.1,20,0.8925374037654864,0.050400403053225955,25.0,0.0
exploratory,TSS,earliest,per_k,0,cqr,hybrid,0.1,20,0.8925374037654864,0.050400403053225955,25.0,0.0
exploratory,TSS,earliest,per_k,0,cqr,local,0.1,20,1.0,0.0,25.0,1.0
exploratory,TSS,earliest,per_k,0,scp,augment,0.1,20,0.8886506445971294,0.06669330659605009,25.0,0.0
exploratory,TSS,earliest,per_k,0,scp,global,0.1,20,0.8886506445971294,0.06669330659605009,25.0,0.0
exploratory,TSS,earliest,per_k,0,scp,hybrid,0.1,20,0.8886506445971294,0.06669330659605009,25.0,0.0
exploratory,TSS,earliest,per_k,0,scp,local,0.1,20,1.0,0.0,25.0,1.0
exploratory,TSS,earliest,per_k,1,cqr,augment,0.1,20,0.9076723197496056,0.042208146852914005,22.25,0.0
exploratory,TSS,earliest,per_k,1,cqr,global,0.1,20,0.9038323298335245,0.046808413157455674,22.25,0.0
exploratory,TSS,earliest,per_k,1,cqr,hybrid,0.1,20,0.9076723197496056,0.042208146852914005,22.25,0.0
exploratory,TSS,earliest,per_k,1,cqr,local,0.1,20,1.0,0.0,22.25,1.0
exploratory,TSS,earliest,per_k,1,scp,augment,0.1,20,0.9048619058538561,0.05733172345030859,22.25,0.0
